c,floored charge rate,sd/a
6.098360656,5,0.000560506
6.098360656,5,0.000499806
6.098360656,5,0.000347728
6.098360656,5,0.000370225
6.098360656,5,0.000334071
6.098360656,5,0.000210932
6.094262295,5,0.000378209
6.094262295,5,0.000447224
6.094262295,5,0.000464069
6.094262295,5,0.000405872
6.094262295,5,0.000312944
6.094262295,5,0.000287447
6.094262295,5,0.000254582
6.094262295,5,0.000210932
6.094262295,5,0.000210932
6.094262295,5,0.000210932
6.094262295,5,0.000210932
6.094262295,5,0.000217861
6.090163934,5,0.000361112
6.086065574,5,0.00058721
6.086065574,5,0.000597291
6.090163934,5,0.000523212
6.090163934,5,0.000502039
6.086065574,5,0.000495273
6.086065574,5,0.000455068
6.086065574,5,0.000419161
6.086065574,5,0.000447713
6.086065574,5,0.000447713
6.081967213,5,0.000592708
6.081967213,5,0.000581929
6.081967213,5,0.000464724
6.081967213,5,0.000435502
6.077868852,5,0.000476407
6.081967213,5,0.000431817
6.081967213,5,0.00036019
6.081967213,5,0.000238264
6.081967213,5,0.000238264
6.081967213,5,0.000295551
6.081967213,5,0.000334649
6.081967213,5,0.000361511
6.081967213,5,0.000217861
6.081967213,5,0.000210932
6.073770492,5,0.000607948
6.081967213,5,0.000607948
6.081967213,5,0.000607948
6.077868852,5,0.000645461
6.073770492,5,0.000757027
6.077868852,5,0.000714515
6.077868852,5,0.000641167
6.077868852,5,0.000543485
6.077868852,5,0.000449127
6.081967213,5,0.000522883
6.081967213,5,0.00058236
6.081967213,5,0.001121053
6.081967213,5,0.001239308
6.081967213,5,0.001296043
6.081967213,5,0.001295994
6.081967213,5,0.001190204
6.081967213,5,0.00094404
6.081967213,5,0.000737295
6.081967213,5,0.000377963
6.081967213,5,0.000422618
6.081967213,5,0.000436523
6.081967213,5,0.000422705
6.081967213,5,0.000378117
6.081967213,5,0.000436345
6.081967213,5,0.000377655
6.081967213,5,0.000422274
6.081967213,5,0.000436167
6.081967213,5,0.00042236
6.081967213,5,0.000508684
6.081967213,5,0.000577196
6.081967213,5,0.000633701
6.081967213,5,0.000654384
6.081967213,5,0.000633507
6.081967213,5,0.00056654
6.081967213,5,0.000553502
6.081967213,5,0.000378272
6.081967213,5,0.000422877
6.081967213,5,0.000436701
6.081967213,5,0.000422791
6.081967213,5,0.000374187
6.081967213,5,0.000308763
6.081967213,5,0.00021145
6.081967213,5,0.000218395
6.081967213,5,0.000211471
6.081967213,5,0.000189155
6.081967213,5,0.000475453
6.081967213,5,0.000566771
6.077868852,5,0.00077825
6.077868852,5,0.000872733
6.077868852,5,0.000888264
6.077868852,5,0.000829182
6.077868852,5,0.000708797
6.073770492,5,0.000461775
